N_East,N_West,N_North,N_South
282,7,122,89
86,128,267,19
105,104,286,5
12,280,108,100
194,48,54,204
50,198,205,47
127,85,14,274
203,45,43,209
97,113,283,7
98,111,8,283
74,159,242,25
90,118,287,5
233,30,57,180
68,164,237,31
103,115,7,275
95,117,276,12
212,42,55,191
49,202,46,203
140,82,258,20
264,20,77,139
40,211,53,196
93,118,282,7
242,28,155,75
163,67,29,241
190,57,217,36
198,49,200,53
85,135,15,265
139,79,25,257
107,99,286,8
39,226,176,59
138,88,259,15
249,25,152,74
249,29,156,66
127,89,20,264
59,171,234,36
155,70,28,247
12,276,86,126
42,221,64,173
56,197,48,199
190,59,50,201
277,9,125,89
259,19,86,136
293,5,99,103
209,42,53,196
8,279,96,117
209,49,56,186
19,256,137,88
257,15,147,81
294,4,105,97
38,215,188,59
28,233,164,75
82,130,13,275
8,272,102,118
50,194,48,208
132,85,15,268
87,130,272,11
55,194,211,40
262,20,130,88
221,41,184,54
51,209,179,61
222,41,46,191
15,276,89,120
94,120,6,280
2,287,103,108
100,108,3,289
76,149,242,33
24,254,77,145
28,243,67,162
283,6,108,103
61,182,43,214
237,27,79,157
118,97,270,15
185,57,42,216
150,86,21,243
231,35,67,167
84,142,247,27
76,149,19,256
6,283,97,114
174,65,33,228
81,146,20,253
109,96,4,291
63,175,38,224
278,5,116,101
25,249,65,161
92,127,18,263
7,297,103,93
19,265,72,144
148,76,23,253
239,25,161,75
61,170,39,230
133,87,263,17
80,131,278,11
30,250,66,154
11,279,114,96
18,264,137,81
113,95,8,284
194,53,209,44
44,205,61,190
20,251,155,74
223,39,55,183
267,21,82,130
159,75,224,42
263,18,143,76
20,250,131,99
262,14,127,97
98,94,5,303
12,275,123,90
75,141,28,256
153,82,236,29
12,278,114,96
268,16,71,145
63,174,226,37
19,258,149,74
192,58,41,209
265,19,76,140
80,150,28,242
25,246,156,73
105,102,289,4
186,57,207,50
78,149,257,16
176,62,41,221
48,198,200,54
68,173,229,30
44,214,195,47
9,286,103,102
239,32,171,58
12,282,111,95
78,128,16,278
12,280,92,116
86,128,274,12
51,193,41,215
56,187,45,212
106,103,286,5
105,112,277,6
243,29,155,73
130,92,13,265
105,98,294,3
257,24,76,143
8,285,87,120
294,4,102,100
146,79,248,27
79,143,260,18
292,6,106,96
165,74,228,33
60,182,37,221
220,43,53,184
138,85,258,19
148,75,14,263
283,8,117,92
64,169,234,33
152,75,31,242
17,265,80,138
31,249,65,155
53,195,43,209
70,161,242,27
215,40,185,60
93,114,9,284
248,25,62,165
204,53,199,44
195,49,43,213
5,299,92,104
195,54,212,39
31,243,158,68
80,160,27,233
250,22,152,76
256,20,86,138
50,189,46,215
26,239,165,70
238,27,71,164
270,11,87,132
41,204,199,56
48,205,53,194
55,197,51,197
282,10,87,121
267,11,126,96
263,23,128,86
69,157,37,237
154,77,35,234
272,10,98,120
134,91,259,16
79,140,17,264
161,71,237,31
283,5,93,119
19,263,138,80
148,76,19,257
258,21,83,138
33,231,164,72
282,1,114,103
109,104,281,6
89,132,264,15
67,170,29,234
148,80,247,25
112,107,275,6
142,85,261,12
124,90,13,273
19,254,80,147
184,57,41,218
8,284,107,101
107,99,288,6
182,56,45,217
76,147,24,253
37,225,72,166
261,17,129,93
269,15,123,93
100,104,293,3
53,206,184,57
59,185,217,39
257,22,145,76
70,158,247,25
135,81,259,25
131,89,12,268
40,225,176,59
39,214,195,52
294,6,93,107
259,18,144,79
142,86,261,11
258,21,134,87
44,225,59,172
51,191,213,45
38,229,174,59
250,24,156,70
140,85,14,261
57,180,224,39
44,212,177,67
46,207,189,58
250,26,80,144
129,94,16,261
102,108,4,286
110,106,281,3
216,41,55,188
9,290,97,104
134,88,257,21
254,12,157,77
39,228,61,172
46,203,189,62
29,244,74,153
171,56,227,46
83,128,20,269
40,223,171,66
226,34,61,179
195,55,47,203
96,116,280,8
140,80,258,22
112,94,6,288
87,134,265,14
244,25,141,90
263,20,134,83
280,3,105,112
242,30,69,159
161,69,32,238
82,125,281,12
53,193,217,37
280,10,101,109
260,20,138,82
78,159,238,25
281,13,116,90
267,19,134,80
232,33,57,178
15,271,99,115
33,233,159,75
94,102,297,7
72,163,234,31
125,91,22,262
152,68,27,253
64,182,218,36
266,14,78,142
214,41,61,184
213,37,198,52
273,12,125,90
166,74,228,32
28,249,144,79
176,60,222,42
133,86,265,16
29,234,72,165
103,100,2,295
87,128,273,12
50,197,44,209
48,202,49,201
9,287,113,91
107,100,291,2
18,263,139,80
23,249,161,67
105,99,290,6
41,219,185,55
160,76,32,232
77,151,247,25
31,239,70,160
116,96,279,9
244,29,161,66
262,21,75,142
274,14,124,88
202,52,50,196
95,124,274,7
184,63,42,211
280,11,95,114
264,16,135,85
15,264,124,97
9,280,98,113
279,6,97,118
280,7,116,97
34,232,161,73
254,23,82,141
33,225,68,174
136,84,13,267
268,17,88,127
77,136,265,22
32,244,74,150
91,113,8,288
24,253,138,85
144,76,26,254
139,74,265,22
2,299,101,98
140,75,23,262
80,136,268,16
57,185,222,36
69,171,25,235
33,235,61,171
120,95,276,9
140,82,18,260
111,101,286,2
270,14,129,87
11,270,126,93
5,286,112,97
258,22,84,136
70,170,30,230
75,157,24,244
5,284,100,111
101,118,273,8
6,293,100,101
10,281,99,110
226,36,65,173
83,147,244,26
209,44,54,193
227,40,173,60
95,124,264,17
66,169,230,35
11,285,120,84
267,18,139,76
120,89,280,11
7,281,109,103
173,69,218,40
109,98,5,288
151,78,247,24
63,176,37,224
221,40,184,55
5,293,112,90
113,96,279,12
169,67,42,222
82,157,237,24
85,137,259,19
67,168,236,29
68,160,35,237
55,191,205,49
48,203,196,53
54,198,205,43
220,43,186,51
44,212,181,63
4,296,103,97
163,72,241,24
22,257,147,74
257,18,141,84
114,102,276,8
162,68,236,34
14,276,123,87
253,23,148,76
26,242,160,72
23,252,88,137
77,152,24,247
18,253,97,132
257,20,85,138
25,241,76,158
63,179,41,217
100,109,289,2
60,177,32,231
30,228,181,61
190,49,45,216
157,69,249,25
142,81,257,20
167,63,33,237
68,175,227,30
7,296,95,102
214,48,177,61
169,61,236,34
242,36,71,151
262,16,139,83
87,123,13,277
111,92,5,292
255,24,76,145
104,104,286,6
68,174,25,233
98,110,284,8
91,128,261,20
6,278,100,116
103,113,275,9
78,146,21,255
9,276,90,125
144,80,258,18
30,243,65,162
73,157,25,245
278,9,105,108
169,65,33,233
65,184,46,205
202,48,202,48
94,126,258,22
209,47,55,189
92,119,13,276
29,242,149,80
136,84,20,260
149,78,28,245
154,70,27,249
182,58,215,45
64,184,206,46
63,173,35,229
48,201,201,50
95,118,5,282
33,243,70,154
239,34,60,167
47,206,194,53
83,140,24,253
97,116,12,275
67,165,234,34
113,95,8,284
10,281,109,100
261,23,84,132
65,159,247,29
169,61,240,30
254,19,146,81
84,129,13,274
69,166,234,31
47,208,187,58
5,288,107,100
22,256,143,79
11,270,120,99
92,117,13,278
233,32,173,62
9,281,103,107
225,36,178,61
215,44,181,60
178,65,39,218
109,97,10,284
97,114,280,9
276,9,102,113
205,53,190,52
9,277,120,94
153,76,24,247
147,73,22,258
173,60,39,228
168,61,34,237
197,48,195,60
296,3,103,98
124,91,274,11
18,255,94,133
139,95,20,246
61,185,205,49
60,180,226,34
141,81,20,258
264,19,76,141
51,186,217,46
90,132,262,16
63,168,238,31
196,58,50,196
45,222,175,58
41,200,49,210
77,147,29,247
67,166,232,35
72,158,244,26
255,16,82,147
175,69,33,223
30,245,66,159
241,23,158,78
60,180,34,226
97,114,277,12
290,6,105,99
249,20,81,150
124,84,10,282
129,76,283,12
39,228,61,172
10,278,113,99
190,59,212,39
34,208,195,63
43,215,185,57
93,120,14,273
134,92,254,20
73,150,251,26
239,23,163,75
181,61,218,40
59,168,37,236
150,76,250,24
115,105,273,7
276,16,125,83
48,202,43,207
219,37,59,185
36,235,162,67
10,280,126,84
14,287,108,91
165,58,242,35
29,247,79,145
139,90,256,15
204,51,46,199
212,49,46,193
27,251,151,71
117,93,279,11
122,92,278,8
77,141,21,261
58,184,34,224
217,39,181,63
68,155,241,36
94,122,16,268
36,222,171,71
144,85,24,247
92,121,10,277
57,185,216,42
275,11,88,126
207,44,199,50
119,89,277,15
153,72,237,38
143,79,20,258
55,193,209,43
16,270,126,88
120,94,275,11
63,174,34,229
12,275,96,117
44,200,212,44
97,108,291,4
54,189,207,50
197,53,48,202
98,117,280,5
98,105,11,286
166,66,27,241
130,92,14,264
95,100,300,5
242,27,68,163
13,265,95,127
28,241,153,78
161,70,29,240
52,199,203,46
23,245,146,86
106,102,1,291
142,78,13,267
44,209,47,200
207,46,187,60
40,205,197,58
48,203,197,52
182,61,226,31
8,267,124,101
116,95,283,6
160,72,238,30
118,91,6,285
83,140,254,23
97,109,283,11
192,50,48,210
181,61,220,38
73,146,20,261
228,32,65,175
142,86,27,245
204,44,59,193
35,237,69,159
170,66,228,36
57,185,44,214
37,228,166,69
23,253,148,76
185,60,213,42
246,24,78,152
15,269,88,128
83,132,273,12
164,69,31,236
72,163,233,32
73,150,248,29
126,94,265,15
78,144,28,250
265,17,88,130
123,93,12,272
153,73,249,25
116,99,8,277
123,96,271,10
48,208,43,201
197,49,44,210
61,175,42,222
45,203,52,200
23,253,91,133
174,70,35,221
245,28,60,167
222,36,178,64
134,92,259,15
69,163,248,20
28,229,181,62
182,58,217,43
285,12,108,95
100,103,294,3
125,88,273,14
35,232,64,169
106,95,12,287
225,39,168,68
180,56,39,225
7,284,107,102
99,106,286,9
18,262,72,148
75,154,241,30
189,58,43,210
141,84,253,22
147,78,15,260
131,83,11,275
10,278,124,88
216,42,182,60
80,142,261,17
132,87,271,10
177,60,227,36
168,64,38,230
278,9,115,98
118,94,11,277
197,56,209,38
289,6,93,112
51,193,42,214
114,94,281,11
93,115,282,10
35,232,59,174
232,34,163,71
272,9,119,100
292,6,106,96
218,45,189,48
67,161,247,25
238,31,65,166
133,82,264,21
218,37,68,177
146,69,18,267
68,178,216,38
193,57,45,205
20,258,131,91
289,9,110,92
121,86,281,12
45,218,49,188
260,18,74,148
271,15,128,86
253,17,87,143
115,96,278,11
100,109,7,284
213,43,186,58
159,75,235,31
134,89,19,258
35,229,73,163
80,144,255,21
202,49,195,54
266,22,75,137
40,224,66,170
57,177,227,39
40,211,185,64
61,176,233,30
176,64,218,42
198,50,56,196
60,190,46,204
186,55,39,220
229,30,76,165
197,47,208,48
126,99,258,17
18,267,136,79
75,150,249,26
27,246,154,73
86,130,11,273
17,263,75,145
40,214,54,192
257,26,64,153
53,191,38,218
16,269,121,94
76,154,240,30
287,3,115,95
8,286,94,112
37,222,182,59
50,184,220,46
137,87,256,20
241,30,153,76
226,35,174,65
282,9,113,96
107,99,291,3
122,90,9,279
230,43,70,157
48,200,207,45
294,4,99,103
151,76,252,21
58,180,47,215
123,80,285,12
116,93,9,282
105,100,6,289
79,153,29,239
126,86,273,15
89,132,15,264
10,264,134,92
98,104,11,287
77,130,14,279
286,8,120,86
286,4,111,99
16,263,124,97
200,48,204,48
21,253,72,154
133,86,266,15
252,24,139,85
258,18,125,99
223,29,67,181
254,24,147,75
102,111,280,7
156,68,26,250
273,14,116,97
15,249,146,90
47,217,62,174
62,166,243,29
21,239,175,65
90,112,289,9
100,112,0,288
79,144,27,250
26,245,155,74
158,72,22,248
119,86,5,290
89,134,256,21
243,27,73,157
6,286,119,89
116,97,281,6
151,72,252,25
99,106,3,292
99,106,6,289
8,273,129,90
62,170,41,227
275,13,100,112
81,136,20,263
42,204,54,200
136,78,266,20
263,14,83,140
104,106,284,6
88,120,17,275
10,280,121,89
68,154,256,22
5,287,109,99
268,15,87,130
95,118,12,275
116,93,11,280
108,91,296,5
112,97,282,9
68,154,255,23
279,12,86,123
190,54,34,222
156,72,30,242
236,29,67,168
33,241,69,157
118,97,13,272
104,102,289,5
30,239,75,156
95,116,285,4
122,93,271,14
136,85,262,17
286,6,110,98
216,52,54,178
4,298,97,101
77,149,249,25
31,230,166,73
114,104,8,274
95,122,273,10
90,119,12,279
282,9,96,113
108,94,8,290
240,37,65,158
286,6,99,109
166,68,28,238
104,103,3,290
257,23,73,147
139,80,253,28
7,286,103,104
97,125,262,16
277,9,110,104
70,174,218,38
27,254,154,65
66,160,234,40
257,16,85,142
12,277,89,122
251,22,153,74
162,72,35,231
7,281,98,114
283,6,91,120
13,271,122,94
237,33,175,55
77,145,261,17
189,53,218,40
146,78,15,261
186,63,38,213
12,272,82,134
12,274,128,86
95,111,9,285
277,8,116,99
85,157,31,227
