N_East,N_West,N_North,N_South
112,94,281,13
275,10,112,103
289,8,109,94
54,190,52,204
29,248,127,96
259,22,96,123
236,31,143,90
278,13,132,77
279,7,120,94
288,8,99,105
157,70,45,228
267,12,113,108
143,83,236,38
3,295,96,106
221,37,117,125
256,25,117,102
30,239,152,79
273,18,104,105
184,60,44,212
264,20,117,99
289,6,98,107
265,15,108,112
286,7,121,86
117,99,274,10
271,17,117,95
294,3,100,103
183,70,188,59
247,31,155,67
227,39,118,116
211,62,149,78
24,250,73,153
285,9,108,98
204,53,195,48
253,19,145,83
6,287,106,101
258,15,112,115
284,9,86,121
211,44,55,190
239,39,140,82
99,132,33,236
301,4,94,101
115,94,12,279
162,82,35,221
293,8,112,87
227,38,164,71
133,91,245,31
148,73,25,254
212,60,55,173
154,75,221,50
149,77,215,59
127,86,258,29
267,15,123,95
4,289,95,112
279,11,101,109
206,49,190,55
231,34,73,162
282,14,109,95
224,44,161,71
108,101,279,12
258,21,86,135
290,4,106,100
283,8,88,121
237,26,170,67
203,51,107,139
241,31,166,62
275,16,90,119
239,33,158,70
228,38,66,168
169,79,49,203
138,82,22,258
231,41,74,154
142,80,246,32
266,17,79,138
75,148,33,244
281,8,98,113
186,57,44,213
226,44,72,158
281,12,113,94
287,6,123,84
254,20,95,131
288,6,90,116
274,14,108,104
229,39,163,69
267,17,128,88
233,38,144,85
91,148,44,217
247,25,150,78
225,37,142,96
285,9,84,122
287,8,104,101
256,28,85,131
294,4,112,90
248,25,164,63
234,34,160,72
285,7,123,85
116,97,269,18
260,14,96,130
212,47,56,185
270,29,111,90
285,8,110,97
255,24,98,123
282,6,92,120
302,2,98,98
234,34,116,116
2,308,94,96
80,147,230,43
283,6,105,106
122,98,267,13
104,105,10,281
231,38,79,152
206,52,47,195
237,31,145,87
254,22,93,131
206,47,67,180
194,55,74,177
286,10,91,113
162,77,203,58
16,263,124,97
175,59,217,49
297,5,95,103
288,6,115,91
231,49,93,127
178,69,216,37
224,37,70,169
291,8,119,82
260,22,137,81
148,76,242,34
246,27,144,83
113,106,255,26
266,19,124,91
269,23,73,135
50,191,39,220
2,286,101,111
252,36,86,126
295,8,86,111
282,9,107,102
246,24,101,129
264,17,131,88
144,77,256,23
218,42,186,54
264,17,107,112
160,73,231,36
284,8,97,111
273,12,107,108
261,20,118,101
86,136,241,37
211,53,64,172
132,86,31,251
236,28,68,168
247,32,82,139
245,26,149,80
274,12,90,124
12,277,101,110
18,263,82,137
291,5,103,101
6,288,104,102
242,29,79,150
197,67,77,159
255,23,122,100
257,29,145,69
287,2,111,100
255,27,101,117
143,80,257,20
261,18,91,130
288,5,98,109
153,69,25,253
250,23,78,149
261,26,87,126
283,15,106,96
154,71,234,41
243,38,150,69
247,26,82,145
188,57,198,57
292,3,107,98
273,12,102,113
272,14,104,110
289,4,101,106
287,10,95,108
5,290,101,104
201,69,155,75
24,259,90,127
292,7,112,89
251,23,103,123
158,70,66,206
260,29,118,93
221,44,66,169
124,91,264,21
37,232,74,157
161,69,27,243
171,65,72,192
270,12,138,80
267,16,109,108
122,91,4,283
262,15,131,92
157,71,232,40
285,9,111,95
165,77,188,70
276,15,108,101
207,45,184,64
127,83,277,13
260,16,91,133
162,88,47,203
287,7,106,100
253,23,80,144
291,7,98,104
279,10,89,122
228,35,160,77
109,102,11,278
278,16,104,102
178,75,208,39
220,35,88,157
271,15,117,97
281,8,97,114
260,20,87,133
224,43,76,157
277,11,111,101
197,68,64,171
237,32,105,126
257,20,89,134
291,3,97,109
62,184,157,97
267,15,106,112
284,12,103,101
173,66,54,207
277,11,127,85
205,45,59,191
254,17,103,126
239,31,149,81
279,9,121,91
152,89,231,28
276,7,95,122
290,5,104,101
230,35,121,114
128,116,201,55
275,12,117,96
273,9,107,111
191,57,48,204
206,47,188,59
139,92,244,25
272,9,112,107
266,21,123,90
197,59,157,87
251,32,126,91
285,5,113,97
84,143,224,49
279,12,122,87
289,8,123,80
295,5,82,118
121,94,6,279
281,9,111,99
265,22,78,135
279,8,103,110
264,19,144,73
269,14,114,103
50,193,52,205
292,4,102,102
144,76,25,255
197,46,52,205
101,93,297,9
273,17,83,127
7,289,88,116
5,282,99,114
225,50,81,144
244,27,158,71
258,14,88,140
125,86,264,25
229,36,68,167
269,13,109,109
227,38,60,175
272,14,120,94
256,23,62,159
282,14,113,91
283,4,111,102
274,7,130,89
126,87,273,14
108,107,258,27
207,63,61,169
257,19,99,125
267,11,106,116
285,8,111,96
257,22,85,136
232,32,82,154
128,98,222,52
124,88,14,274
155,97,195,53
272,13,107,108
291,11,98,100
282,12,100,106
267,16,128,89
215,52,157,76
160,64,240,36
285,2,103,110
163,71,214,52
293,5,108,94
264,21,121,94
107,101,5,287
280,5,108,107
279,7,94,120
249,25,89,137
279,14,114,93
187,57,50,206
250,28,110,112
298,5,106,91
270,16,80,134
287,7,95,111
245,29,65,161
266,14,90,130
213,45,181,61
160,80,94,166
139,78,24,259
109,104,258,29
289,5,95,111
234,32,145,89
151,78,27,244
250,29,89,132
277,9,106,108
16,264,119,101
285,6,93,116
172,86,68,174
71,167,56,206
284,11,80,125
140,83,252,25
281,6,89,124
249,25,147,79
270,15,111,104
142,105,196,57
274,14,107,105
277,18,109,96
276,17,118,89
266,14,105,115
275,6,89,130
23,256,83,138
272,16,140,72
233,32,173,62
244,23,55,178
273,18,110,99
200,53,180,67
262,23,87,128
107,100,274,19
274,13,99,114
117,108,250,25
258,22,125,95
228,34,167,71
154,100,201,45
280,14,103,103
288,6,130,76
130,104,53,213
128,81,27,264
236,31,84,149
287,6,109,98
33,228,117,122
288,11,86,115
267,17,127,89
221,42,173,64
70,166,50,214
236,32,82,150
