Ne,Pe,Nw,Pw,Nn,Pn,Ns,Ps
0,0,0,0,0,0,0,0
1,0.001,1,0.003,1,0,1,0.001
2,0.005,2,0.007,2,0.001,2,0
3,0.002,3,0.017,3,0.001,3,0.001
4,0.001,4,0.016,4,0.001,4,0
5,0.004,5,0.023,5,0.002,5,0.002
6,0.002,6,0.034,6,0.002,6,0.003
7,0.003,7,0.028,7,0.002,7,0
8,0,8,0.033,8,0.001,8,0
9,0,9,0.021,9,0,9,0.002
10,0.002,10,0.017,10,0.001,10,0.001
11,0.001,11,0.018,11,0.001,11,0.002
12,0.002,12,0.026,12,0.001,12,0.001
13,0.002,13,0.02,13,0.002,13,0.005
14,0.001,14,0.029,14,0.001,14,0.003
15,0,15,0.02,15,0,15,0.002
16,0.002,16,0.017,16,0.001,16,0
17,0,17,0.02,17,0.003,17,0
18,0.001,18,0.021,18,0.001,18,0.002
19,0.001,19,0.021,19,0.002,19,0.002
20,0,20,0.012,20,0.003,20,0.002
21,0.001,21,0.015,21,0.002,21,0.002
22,0.001,22,0.014,22,0.005,22,0.001
23,0.001,23,0.017,23,0.002,23,0.001
24,0.002,24,0.011,24,0.003,24,0.003
25,0.001,25,0.012,25,0.006,25,0.006
26,0,26,0.013,26,0.002,26,0.001
27,0,27,0.013,27,0.004,27,0.001
28,0.001,28,0.014,28,0.002,28,0.003
29,0.002,29,0.01,29,0,29,0.002
30,0.001,30,0.004,30,0,30,0.001
31,0.001,31,0.015,31,0.002,31,0.002
32,0,32,0.013,32,0.003,32,0.003
33,0.002,33,0.006,33,0.002,33,0.001
34,0.001,34,0.006,34,0.001,34,0.004
35,0.001,35,0.012,35,0.001,35,0.001
36,0,36,0.007,36,0.001,36,0.003
37,0.002,37,0.006,37,0,37,0.005
38,0,38,0.012,38,0.003,38,0.001
39,0.001,39,0.008,39,0.003,39,0.002
40,0.001,40,0.007,40,0.001,40,0.003
41,0,41,0.01,41,0.001,41,0.002
42,0.001,42,0.007,42,0.002,42,0.001
43,0,43,0.006,43,0,43,0.002
44,0,44,0.005,44,0.006,44,0
45,0,45,0.004,45,0.001,45,0.003
46,0.002,46,0.005,46,0,46,0
47,0.001,47,0.006,47,0.002,47,0.003
48,0.001,48,0.005,48,0.002,48,0.004
49,0.003,49,0.007,49,0.004,49,0.005
50,0.002,50,0.002,50,0.004,50,0.001
51,0.002,51,0.001,51,0.002,51,0.003
52,0,52,0.005,52,0.003,52,0.005
53,0,53,0.006,53,0.004,53,0.005
54,0.002,54,0.002,54,0.001,54,0.001
55,0,55,0.005,55,0.006,55,0.005
56,0,56,0.002,56,0.003,56,0
57,0.001,57,0.004,57,0.001,57,0.002
58,0,58,0.004,58,0.001,58,0.001
59,0,59,0.004,59,0.002,59,0.003
