N_East,N_West,N_North,N_South
99,108,5,288
133,87,18,262
99,115,278,8
223,37,182,58
123,89,16,272
13,278,115,94
88,126,14,272
42,214,75,169
274,13,88,125
120,88,10,282
188,55,45,212
244,35,65,156
116,98,6,280
277,9,109,105
257,17,83,143
114,100,278,8
265,20,134,81
68,177,226,29
40,223,60,177
280,11,115,94
60,189,37,214
100,102,3,295
27,248,83,142
275,8,109,108
233,35,158,74
150,76,29,245
100,108,7,285
269,18,90,123
23,266,131,80
99,111,4,286
205,48,58,189
287,4,99,110
139,74,17,270
103,112,6,279
10,271,134,85
264,17,140,79
170,72,29,229
283,8,101,108
117,97,280,6
34,233,176,57
204,50,192,54
43,213,187,57
231,36,171,62
250,18,78,154
141,79,17,263
64,182,217,37
211,48,46,195
54,192,220,34
20,254,77,149
183,55,218,44
209,48,193,50
197,53,54,196
94,114,283,9
179,62,33,226
98,107,5,290
68,157,242,33
50,203,193,54
224,37,174,65
243,19,162,76
184,56,45,215
241,30,161,68
284,6,95,115
38,224,61,177
22,256,87,135
145,84,245,26
128,95,18,259
74,145,20,261
17,260,134,89
131,87,271,11
59,192,49,200
51,203,196,50
166,78,223,33
173,63,37,227
69,172,35,224
195,62,196,47
178,58,224,40
129,88,272,11
284,7,102,107
4,293,99,104
30,236,161,73
108,101,3,288
237,29,173,61
8,281,116,95
13,269,99,119
30,237,169,64
255,20,85,140
54,190,54,202
59,185,33,223
259,23,81,137
41,215,179,65
261,12,141,86
125,86,7,282
272,12,87,129
256,17,153,74
11,271,82,136
4,294,95,107
280,4,118,98
76,141,262,21
40,217,54,189
167,72,34,227
115,95,9,281
71,147,22,260
26,248,155,71
107,99,6,288
92,116,281,11
21,255,81,143
81,135,259,25
43,217,59,181
94,118,12,276
98,115,8,279
130,86,18,266
17,266,140,77
295,7,91,107
272,15,82,131
20,253,144,83
5,281,123,91
261,19,141,79
155,72,26,247
104,110,275,11
209,45,56,190
177,65,225,33
238,30,158,74
7,288,98,107
61,169,31,239
66,165,40,229
274,16,115,95
83,145,22,250
8,288,95,109
35,221,70,174
178,64,35,223
259,24,133,84
12,281,84,123
202,60,182,56
140,88,250,22
219,40,185,56
78,152,21,249
144,77,20,259
38,232,166,64
269,17,134,80
79,138,20,263
36,220,181,63
284,6,89,121
85,128,277,10
18,268,81,133
195,47,203,55
59,191,204,46
90,132,259,19
12,269,91,128
85,141,252,22
194,57,50,199
146,81,256,17
88,124,278,10
13,276,77,134
31,235,75,159
52,203,45,200
70,160,24,246
248,26,69,157
137,76,22,265
265,17,99,119
93,112,7,288
7,278,114,101
210,48,49,193
87,123,18,272
232,36,62,170
89,117,287,7
26,250,149,75
57,177,220,46
197,52,202,49
69,176,218,37
92,111,289,8
98,104,291,7
70,161,243,26
275,12,93,120
23,252,76,149
9,281,109,101
199,43,49,209
231,38,54,177
276,14,111,99
68,160,32,240
50,198,200,52
284,6,101,109
207,52,51,190
59,188,55,198
50,198,204,48
24,242,79,155
62,172,230,36
120,84,285,11
277,10,121,92
25,242,158,75
25,254,139,82
4,287,101,108
91,109,290,10
28,226,190,56
176,64,226,34
12,275,90,123
18,271,92,119
280,11,95,114
194,46,221,39
273,11,105,111
85,140,263,12
30,232,170,68
80,124,284,12
74,158,28,240
40,222,172,66
74,163,30,233
89,129,270,12
64,170,28,238
95,106,5,294
9,277,111,103
156,70,23,251
276,11,82,131
16,268,134,82
249,24,161,66
8,276,96,120
37,224,173,66
47,215,57,181
119,96,10,275
63,165,39,233
294,7,91,108
204,48,198,50
103,104,9,284
229,36,177,58
135,83,34,248
36,228,60,176
202,50,193,55
83,132,10,275
79,145,23,253
286,9,93,112
19,256,135,90
94,112,5,289
20,264,81,135
283,10,115,92
167,65,226,42
90,135,17,258
72,156,25,247
12,272,83,133
81,149,22,248
127,88,10,275
63,183,223,31
67,171,31,231
98,118,11,273
104,108,10,278
94,115,12,279
96,119,277,8
285,10,106,99
59,194,41,206
9,293,86,112
1,289,101,109
28,245,148,79
268,15,93,124
120,91,281,8
51,189,225,35
284,8,99,109
119,88,11,282
154,84,238,24
106,109,8,277
87,138,259,16
182,55,45,218
87,130,272,11
265,15,140,80
106,102,4,288
83,137,264,16
129,86,14,271
66,164,26,244
201,52,201,46
15,279,115,91
14,271,133,82
272,11,92,125
76,155,20,249
81,146,22,251
65,181,35,219
37,233,58,172
236,31,61,172
245,28,80,147
6,293,103,98
197,49,40,214
85,125,273,17
60,180,34,226
281,10,117,92
173,64,225,38
127,87,18,268
260,23,69,148
40,224,179,57
180,62,222,36
17,265,81,137
139,76,25,260
265,15,130,90
18,275,122,85
68,161,238,33
14,269,90,127
10,275,110,105
10,279,115,96
148,76,21,255
220,38,181,61
164,66,30,240
255,23,142,80
16,281,124,79
77,157,30,236
32,228,179,61
196,47,39,218
138,83,16,263
292,6,98,104
94,130,255,21
280,9,117,94
194,57,42,207
73,153,241,33
40,218,62,180
76,154,242,28
269,16,130,85
229,30,57,184
151,84,242,23
258,22,75,145
168,61,238,33
63,172,225,40
225,35,179,61
45,204,200,51
200,48,212,40
74,147,26,253
296,4,96,104
106,95,293,6
23,249,157,71
272,15,91,122
114,103,4,279
82,148,245,25
27,245,154,74
75,154,30,241
234,30,81,155
105,100,4,291
40,214,55,191
278,10,93,119
278,13,88,121
7,290,96,107
92,125,271,12
179,53,43,225
206,45,188,61
291,2,102,105
277,12,96,115
161,71,31,237
5,286,114,95
84,132,274,10
175,64,35,226
49,208,52,191
205,45,51,199
271,17,123,89
189,58,44,209
167,64,231,38
107,98,2,293
154,84,233,29
250,22,77,151
266,11,142,81
154,71,19,256
132,84,261,23
172,66,238,24
187,53,221,39
173,64,227,36
190,56,42,212
277,15,130,78
8,276,118,98
71,157,32,240
137,80,265,18
234,30,173,63
142,86,251,21
46,213,190,51
227,35,169,69
48,196,217,39
82,140,254,24
142,77,19,262
200,50,204,46
36,222,174,68
122,95,266,17
56,182,218,44
195,54,43,208
80,130,278,12
274,13,128,85
271,10,97,122
22,250,147,81
80,143,260,17
282,9,111,98
65,178,210,47
18,264,136,82
192,56,38,214
89,137,252,22
23,268,81,128
2,293,95,110
147,78,20,255
17,273,84,126
93,112,7,288
75,165,22,238
291,3,109,97
150,78,248,24
246,28,145,81
244,30,69,157
141,85,21,253
171,62,34,233
74,140,16,270
90,116,284,10
192,53,59,196
44,209,192,55
120,85,12,283
121,93,269,17
94,115,282,9
163,70,27,240
116,90,288,6
241,26,58,175
178,56,48,218
127,89,264,20
243,25,69,163
15,264,89,132
221,34,174,71
152,74,30,244
261,14,83,142
71,155,25,249
97,113,280,10
162,66,27,245
145,83,252,20
114,95,5,286
10,271,133,86
143,80,248,29
83,135,265,17
57,194,208,41
53,209,193,45
33,243,162,62
141,82,258,19
27,249,156,68
289,4,105,102
123,90,12,275
102,107,285,6
178,62,224,36
256,19,148,77
97,113,8,282
131,90,23,256
37,221,60,182
271,17,92,120
29,257,150,64
95,113,7,285
70,165,30,235
105,106,4,285
43,217,177,63
83,118,289,10
66,168,234,32
35,239,60,166
41,214,195,50
31,250,89,130
14,270,78,138
204,42,59,195
149,77,22,252
79,143,27,251
17,253,137,93
107,99,6,288
115,96,8,281
6,282,113,99
59,187,48,206
158,70,24,248
77,147,245,31
86,146,24,244
52,176,37,235
65,168,227,40
28,243,160,69
155,72,26,247
102,101,7,290
51,199,43,207
90,123,278,9
104,97,11,288
96,116,8,280
167,67,37,229
159,66,244,31
17,268,85,130
190,56,211,43
40,218,62,180
94,119,280,7
5,288,100,107
169,67,235,29
261,19,87,133
100,99,299,2
185,62,213,40
69,165,236,30
12,264,86,138
6,282,97,115
194,54,53,199
95,121,277,7
27,251,80,142
52,201,35,212
95,128,8,269
253,15,88,144
234,33,158,75
247,34,61,158
