N_East,N_West,N_North,N_South
292,2,108,98
281,6,108,105
57,179,47,217
95,104,5,296
108,100,286,6
73,179,44,204
55,191,47,207
111,91,5,293
6,290,107,97
275,11,90,124
21,249,149,81
14,280,88,118
248,26,72,154
163,72,234,31
169,67,31,233
61,174,30,235
157,77,29,237
271,12,88,129
243,31,77,149
198,43,59,200
33,231,172,64
19,265,81,135
263,16,78,143
153,68,253,26
230,36,70,164
12,277,132,79
91,119,25,265
32,235,154,79
293,6,103,98
90,129,19,262
85,128,16,271
28,249,151,72
43,213,192,52
282,6,104,108
129,90,267,14
31,236,65,168
72,147,253,28
51,197,52,200
134,78,277,11
135,86,264,15
13,275,91,121
281,8,109,102
182,62,220,36
174,70,27,229
183,63,208,46
99,113,278,10
56,185,50,209
255,23,136,86
41,206,54,199
212,42,201,45
8,284,114,94
251,24,86,139
19,265,129,87
203,46,182,69
56,209,181,54
279,9,92,120
260,19,136,85
97,105,4,294
68,165,35,232
148,79,17,256
240,32,156,72
45,211,193,51
248,26,151,75
258,18,141,83
75,157,26,242
269,16,89,126
32,252,146,70
66,158,27,249
38,218,68,176
29,252,66,153
92,116,8,284
39,211,62,188
254,25,151,70
216,38,59,187
274,11,96,119
279,12,120,89
199,54,42,205
144,81,27,248
273,11,125,91
97,111,1,291
38,221,180,61
66,175,30,229
244,25,148,83
170,72,226,32
92,120,282,6
98,102,296,4
241,31,70,158
125,91,14,270
113,93,6,288
116,89,11,284
44,222,182,52
42,207,50,201
261,11,125,103
100,112,9,279
293,5,105,97
197,49,205,49
11,281,115,93
142,74,265,19
14,264,134,88
108,101,283,8
21,252,149,78
246,31,154,69
177,61,225,37
26,235,155,84
277,5,92,126
96,105,6,293
25,252,148,75
11,282,122,85
94,115,4,287
15,270,91,124
58,189,209,44
48,205,199,48
114,93,282,11
9,281,91,119
95,113,288,4
13,275,120,92
229,37,63,171
112,98,9,281
7,297,99,97
50,191,49,210
52,195,202,51
173,69,232,26
101,117,270,12
88,126,275,11
263,18,91,128
159,68,245,28
11,278,106,105
79,147,256,18
7,285,96,112
38,228,169,65
253,21,86,140
5,287,100,108
206,48,183,63
241,27,71,161
278,11,101,110
42,220,50,188
288,5,106,101
155,74,19,252
139,84,14,263
266,14,89,131
14,268,99,119
294,5,103,98
231,40,167,62
275,10,97,118
44,211,183,62
23,254,90,133
37,219,187,57
16,274,84,126
8,289,82,121
9,282,121,88
90,126,18,266
78,143,248,31
149,74,32,245
112,93,285,10
217,50,184,49
93,131,14,262
87,127,19,267
65,171,216,48
9,269,129,93
67,175,31,227
148,83,11,258
21,257,139,83
282,8,102,108
63,181,36,220
263,21,83,133
107,108,8,277
266,16,87,131
106,109,275,10
222,39,175,64
14,265,139,82
103,96,296,5
66,154,251,29
232,28,165,75
37,231,162,70
41,223,174,62
64,169,234,33
65,159,250,26
168,62,34,236
141,76,251,32
151,81,245,23
111,97,10,282
25,250,71,154
16,263,130,91
80,153,36,231
199,55,207,39
39,232,170,59
112,94,6,288
15,264,84,137
186,52,50,212
25,253,159,63
90,115,285,10
89,120,280,11
166,64,234,36
122,98,24,256
137,85,18,260
17,267,82,134
215,42,62,181
176,61,235,28
213,49,188,50
186,50,216,48
202,52,201,45
182,62,221,35
198,57,200,45
45,209,192,54
181,67,215,37
256,24,155,65
8,276,98,118
2,296,98,104
89,137,14,260
233,31,155,81
33,230,69,168
72,161,237,30
32,245,160,63
261,19,80,140
207,46,208,39
18,261,134,87
203,44,64,189
267,10,125,98
151,80,251,18
278,9,114,99
263,19,129,89
285,7,98,110
49,201,190,60
283,8,111,98
14,272,120,94
30,242,146,82
56,174,38,232
99,104,292,5
281,12,96,111
274,12,129,85
197,54,41,208
211,48,188,53
18,271,95,116
153,81,25,241
212,47,191,50
69,163,237,31
286,7,108,99
59,185,211,45
101,94,2,303
89,122,278,11
248,23,147,82
42,214,59,185
107,105,3,285
127,94,263,16
128,88,17,267
34,223,53,190
11,276,114,99
95,115,6,284
61,171,237,31
263,18,88,131
107,98,288,7
17,273,87,123
95,121,273,11
286,11,109,94
93,107,5,295
165,67,30,238
63,165,35,237
18,274,130,78
110,93,7,290
4,290,107,99
71,160,28,241
87,120,16,277
160,72,33,235
230,37,79,154
77,151,32,240
95,102,298,5
59,191,209,41
90,124,276,10
61,169,37,233
62,158,41,239
229,35,66,170
45,229,63,163
36,227,170,67
116,90,287,7
66,165,243,26
49,192,48,211
43,217,50,190
211,55,179,55
51,198,49,202
244,24,165,67
166,77,235,22
98,116,278,8
104,99,289,8
78,144,24,254
31,233,61,175
283,11,116,90
109,102,17,272
282,7,118,93
61,174,222,43
204,44,70,182
82,134,265,19
39,220,180,61
5,292,99,104
263,23,128,86
82,146,21,251
112,99,283,6
14,263,89,134
103,111,274,12
249,31,152,68
178,60,33,229
4,297,104,95
229,33,60,178
255,22,82,141
222,35,60,183
200,55,42,203
69,168,235,28
74,145,24,257
20,267,76,137
234,34,176,56
176,63,222,39
93,110,7,290
71,164,239,26
77,144,258,21
21,261,141,77
203,47,198,52
8,286,114,92
184,58,213,45
149,73,41,237
39,229,165,67
68,164,241,27
160,71,247,22
125,89,13,273
287,2,113,98
239,32,165,64
107,100,287,6
38,218,183,61
69,163,29,239
42,205,50,203
267,10,97,126
43,211,184,62
58,183,37,222
6,287,113,94
96,124,274,6
219,39,60,182
82,132,14,272
126,89,17,268
189,52,203,56
40,212,61,187
272,13,93,122
84,145,245,26
195,52,198,55
167,70,25,238
34,242,74,150
269,18,82,131
83,133,20,264
267,17,135,81
37,217,66,180
5,288,115,92
4,293,94,109
246,26,147,81
100,121,267,12
8,284,119,89
25,259,80,136
250,25,157,68
109,96,9,286
86,119,9,286
95,115,7,283
187,60,42,211
186,51,220,43
7,285,117,91
77,142,261,20
92,119,275,14
107,104,281,8
118,91,279,12
76,150,20,254
257,18,87,138
125,90,275,10
58,184,221,37
210,45,63,182
19,245,89,147
87,129,272,12
61,181,220,38
87,117,10,286
87,141,13,259
99,105,5,291
184,55,220,41
57,193,51,199
108,102,289,1
73,166,230,31
16,263,94,127
84,133,16,267
7,280,110,103
120,101,269,10
136,88,258,18
255,22,86,137
154,66,249,31
146,79,244,31
122,91,10,277
280,15,120,85
274,14,94,118
182,58,44,216
214,47,47,192
185,59,214,42
52,208,59,181
87,136,252,25
153,75,26,246
153,76,23,248
142,78,266,14
67,160,247,26
9,278,95,118
282,7,104,107
94,121,281,4
132,87,18,263
136,89,22,253
124,97,264,15
281,9,122,88
103,117,11,269
29,243,74,154
58,191,200,51
57,181,42,220
114,92,284,10
199,48,205,48
162,67,237,34
11,277,125,87
15,268,129,88
67,158,244,31
15,271,87,127
101,99,292,8
147,77,255,21
222,38,67,173
40,222,180,58
251,29,152,68
209,47,194,50
21,260,144,75
27,248,154,71
29,241,66,164
201,47,51,201
48,212,190,50
117,100,275,8
81,135,264,20
91,117,278,14
65,177,227,31
132,82,13,273
182,60,49,209
117,88,6,289
24,258,83,135
69,168,33,230
80,141,23,256
170,60,228,42
11,272,121,96
266,14,91,129
102,107,7,284
284,7,104,105
19,253,73,155
281,7,98,114
266,16,129,89
193,51,41,215
271,18,123,88
112,101,5,282
52,194,50,204
267,17,121,95
40,227,59,174
120,88,16,276
216,44,55,185
94,133,255,18
26,263,140,71
271,14,120,95
6,291,104,99
50,213,57,180
231,36,166,67
13,280,119,88
259,18,143,80
52,188,43,217
258,18,139,85
31,239,161,69
280,6,109,105
255,21,143,81
269,12,87,132
10,286,101,103
268,12,135,85
40,221,52,187
55,188,38,219
162,69,244,25
225,39,67,169
225,42,60,173
73,169,223,35
63,178,40,219
266,14,126,94
228,37,167,68
102,120,8,270
105,96,293,6
117,96,13,274
286,4,108,102
240,34,67,159
293,8,94,105
8,274,104,114
282,8,95,115
14,271,103,112
9,282,108,101
245,24,154,77
28,237,169,66
150,75,23,252
93,124,12,271
137,86,16,261
181,60,38,221
37,229,169,65
174,66,229,31
48,204,49,199
122,93,274,11
295,6,93,106
87,133,268,12
47,202,208,43
282,6,112,100
6,274,130,90
22,248,148,82
25,245,153,77
6,280,124,90
285,6,118,91
13,274,84,129
38,240,73,149
64,172,237,27
273,11,121,95
98,111,5,286
77,154,21,248
79,142,254,25
39,217,174,70
72,161,27,240
119,96,9,276
204,50,201,45
294,5,103,98
279,13,110,98
18,268,130,84
273,13,100,114
38,207,196,59
116,94,283,7
28,247,152,73
244,28,165,63
286,5,104,105
75,157,22,246
61,187,36,216
85,136,263,16
291,9,103,97
288,4,108,100
53,179,36,232
30,230,173,67
19,262,80,139
7,283,112,98
136,81,261,22
174,67,38,221
23,252,81,144
192,53,52,203
46,207,189,58
48,199,57,196
99,122,19,260
272,15,120,93
11,274,119,96
62,182,213,43
166,65,230,39
148,78,250,24
89,121,283,7
192,59,197,52
15,262,100,123
168,65,228,39
69,150,29,252
4,283,102,111
50,194,201,55
124,87,14,275
232,34,61,173
228,35,173,64
57,169,236,38
33,219,180,68
191,58,50,201
111,98,282,9
12,279,87,122
46,218,58,178
258,19,78,145
111,99,284,6
132,81,274,13
205,44,193,58
69,155,245,31
104,95,3,298
86,133,269,12
13,251,87,149
142,86,19,253
173,66,230,31
31,229,65,175
27,250,148,75
129,90,269,12
212,40,190,58
285,14,109,92
158,80,35,227
91,129,22,258
183,57,226,34
10,273,99,118
39,217,64,180
16,275,122,87
86,141,253,20
195,59,35,211
134,80,262,24
97,106,288,9
18,267,82,133
31,236,164,69
52,214,57,177
6,281,97,116
127,82,280,11
56,188,214,42
59,185,208,48
136,83,260,21
64,166,237,33
72,153,33,242
206,59,50,185
81,148,244,27
41,214,187,58
109,109,276,6
38,221,61,180
15,263,133,89
30,243,64,163
180,60,219,41
148,79,24,249
164,74,232,30
278,14,121,87
31,241,71,157
262,21,83,134
59,183,46,212
15,266,121,98
29,236,166,69
181,60,219,40
206,46,189,59
125,86,270,19
57,188,201,54
181,59,40,220
181,57,220,42
94,114,276,16
251,28,142,79
15,261,131,93
132,86,260,22
7,278,113,102
219,47,177,57
58,193,200,49
36,221,174,69
200,54,37,209
96,117,280,7
23,269,124,84
283,10,106,101
85,124,12,279
286,7,120,87
9,280,104,107
122,94,11,273
254,20,88,138
73,144,253,30
195,52,200,53
162,67,23,248
94,108,282,16
42,225,184,49
15,272,131,82
7,273,126,94
34,226,58,182
15,260,94,131
94,113,279,14
29,237,74,160
21,255,89,135
157,74,253,16
94,121,266,19
68,174,39,219
275,13,124,88
240,34,139,87
41,212,50,197
215,46,54,185
82,133,262,23
5,290,99,106
60,170,32,238
92,125,11,272
246,29,66,159
24,252,86,138
71,159,248,22
166,61,46,227
140,72,19,269
58,186,223,33
46,210,184,60
92,121,279,8
59,180,53,208
249,19,76,156
217,42,190,51
42,217,66,175
290,5,105,100
116,94,17,273
110,96,283,11
34,237,71,158
85,135,19,261
289,8,87,116
21,256,81,142
155,69,25,251
261,17,106,116
126,96,270,8
223,44,70,163
103,100,10,287
144,87,21,248
114,97,282,7
24,250,85,141
35,227,184,54
81,131,274,14
41,216,181,62
23,247,157,73
100,123,13,264
18,263,84,135
