N_East,N_West,N_North,N_South
162,65,33,240
103,107,284,6
72,167,232,29
73,155,245,27
68,163,30,239
221,33,64,182
47,202,43,208
6,295,98,101
25,239,80,156
87,131,268,14
99,106,6,289
164,68,239,29
264,15,85,136
65,174,228,33
30,251,60,159
153,71,29,247
51,212,177,60
112,93,285,10
190,55,211,44
50,203,58,189
16,256,142,86
27,253,75,145
140,82,266,12
84,129,23,264
36,226,180,58
259,26,131,84
16,262,129,93
219,42,61,178
260,17,71,152
280,10,85,125
52,187,43,218
51,197,51,201
90,111,11,288
16,262,128,94
288,5,104,103
278,9,96,117
112,96,284,8
7,278,110,105
114,95,284,7
222,37,55,186
46,215,191,48
221,37,59,183
18,263,88,131
149,78,245,28
163,73,239,25
111,96,280,13
101,105,5,289
80,147,21,252
35,234,69,162
227,31,179,63
270,12,122,96
121,87,18,274
12,284,90,114
97,114,276,13
60,172,35,233
97,111,291,1
106,97,295,2
82,135,270,13
57,180,226,37
108,95,8,289
21,258,135,86
12,283,105,100
78,151,244,27
205,50,195,50
289,6,108,97
8,284,102,106
54,193,203,50
101,97,3,299
56,178,41,225
16,264,91,129
1,300,106,93
56,194,31,219
46,196,210,48
3,301,94,102
85,144,249,22
286,6,110,98
11,264,98,127
212,43,190,55
134,86,262,18
272,18,129,81
103,110,283,4
259,22,137,82
85,121,276,18
21,252,82,145
3,286,95,116
8,280,92,120
95,114,8,283
134,82,20,264
63,159,251,27
66,192,196,46
179,64,40,217
93,124,272,11
97,103,4,296
227,38,59,176
179,51,222,48
89,124,15,272
25,248,138,89
179,72,35,214
23,249,81,147
126,84,10,280
67,173,36,224
78,142,17,263
173,68,36,223
13,271,89,127
211,44,57,188
148,73,27,252
288,5,101,106
158,62,30,250
228,36,171,65
6,280,101,113
237,36,162,65
207,52,192,49
45,208,197,50
164,65,242,29
130,86,257,27
100,101,1,298
104,98,292,6
104,94,294,8
8,283,121,88
253,19,142,86
212,52,54,182
108,98,7,287
198,49,195,58
96,123,262,19
63,179,226,32
91,116,280,13
10,279,89,122
274,17,116,93
259,21,145,75
126,85,12,277
250,21,71,158
176,65,40,219
279,12,91,118
97,129,264,10
63,177,223,37
40,216,192,52
242,23,145,90
60,182,49,209
193,53,209,45
245,27,162,66
280,7,112,101
60,177,227,36
7,285,95,113
170,65,37,228
49,187,222,42
297,5,103,95
145,68,29,258
9,277,118,96
256,27,74,143
143,89,19,249
172,68,42,218
202,51,45,202
45,210,194,51
34,233,64,169
150,67,29,254
44,215,60,181
33,237,170,60
71,173,221,35
102,105,6,287
219,39,64,178
87,140,258,15
198,50,209,43
6,288,95,111
69,161,239,31
8,290,101,101
136,82,11,271
178,60,220,42
176,68,204,52
143,78,16,263
93,131,255,21
98,111,286,5
208,42,57,193
60,186,57,197
218,39,180,63
166,65,39,230
67,169,229,35
32,237,67,164
22,241,76,161
110,98,2,290
73,163,32,232
133,79,267,21
282,10,117,91
73,152,29,246
216,44,59,181
208,51,168,73
261,18,143,78
235,39,154,72
68,161,35,236
55,196,210,39
165,62,241,32
52,196,207,45
107,91,296,6
55,184,216,45
109,96,288,7
73,159,233,35
80,142,250,28
263,24,133,80
53,209,181,57
154,70,34,242
18,277,126,79
86,130,14,270
50,190,216,44
90,126,12,272
296,6,105,93
251,23,139,87
272,11,94,123
232,33,164,71
82,134,25,259
268,16,133,83
20,263,141,76
283,8,114,95
14,253,141,92
88,121,274,17
173,64,235,28
96,105,295,4
161,69,28,242
188,59,47,206
4,287,106,103
16,263,135,86
71,151,24,254
94,121,14,271
24,243,76,157
40,210,55,195
283,5,99,113
18,268,138,76
18,270,138,74
133,85,17,265
141,86,256,17
280,8,116,96
258,18,134,90
120,91,6,283
126,91,266,17
223,35,181,61
123,87,279,11
250,23,82,145
112,103,275,10
9,278,118,95
30,242,75,153
63,189,199,49
47,196,210,47
3,292,104,101
10,269,88,133
258,21,124,97
292,4,89,115
240,26,161,73
246,24,79,151
187,63,43,207
282,8,94,116
167,67,229,37
156,75,36,233
217,41,178,64
224,39,173,64
96,132,13,259
254,20,149,77
80,147,256,17
3,298,103,96
163,71,26,240
205,45,60,190
81,129,17,273
94,121,273,12
92,123,10,275
193,51,215,41
55,197,45,203
278,5,117,100
81,142,255,22
262,17,96,125
199,54,41,206
57,189,222,32
20,251,145,84
26,254,149,71
245,27,152,76
65,167,234,34
28,244,158,70
50,195,200,55
7,281,109,103
149,77,253,21
71,154,29,246
51,197,209,43
283,11,117,89
90,128,11,271
27,242,67,164
297,6,99,98
168,67,42,223
263,19,149,69
13,272,89,126
257,18,149,76
18,262,75,145
80,141,259,20
63,170,34,233
18,262,137,83
183,62,221,34
27,234,163,76
96,117,281,6
179,62,225,34
51,202,202,45
19,255,76,150
164,65,30,241
78,154,29,239
242,34,65,159
182,54,236,28
95,118,278,9
68,158,251,23
275,11,101,113
261,20,138,81
197,47,209,47
31,247,71,151
30,243,159,68
43,209,62,186
175,71,213,41
93,115,286,6
194,54,215,37
266,16,114,104
99,115,275,11
29,232,177,62
12,268,124,96
145,83,19,253
184,56,47,213
24,246,149,81
243,29,71,157
36,230,160,74
286,3,112,99
109,101,284,6
108,104,7,281
20,272,88,120
7,284,96,113
280,11,86,123
289,8,107,96
241,29,161,69
7,283,112,98
96,110,6,288
30,232,167,71
33,242,162,63
87,137,21,255
1,292,101,106
214,54,58,174
268,13,89,130
111,98,283,8
22,252,88,138
208,47,53,192
116,100,5,279
145,82,22,251
202,48,44,206
5,293,97,105
14,263,88,135
170,59,236,35
196,54,54,196
39,215,182,64
285,4,98,113
80,141,266,13
56,204,47,193
13,267,136,84
22,246,79,153
44,206,196,54
32,218,181,69
35,243,152,70
99,108,2,291
138,74,24,264
33,236,171,60
47,211,197,45
62,172,32,234
74,151,247,28
32,233,75,160
98,103,291,8
18,266,85,131
31,228,74,167
159,71,30,240
275,12,117,96
90,124,273,13
86,132,264,18
65,175,221,39
66,180,215,39
70,163,241,26
59,183,216,42
137,81,258,24
46,198,218,38
134,86,17,263
61,177,222,40
25,252,146,77
137,84,14,265
244,23,63,170
132,86,17,265
90,129,271,10
291,5,90,114
189,52,41,218
8,275,101,116
289,8,104,99
175,55,228,42
286,5,103,106
184,61,28,227
90,130,263,17
22,256,80,142
25,255,80,140
16,264,86,134
7,284,110,99
282,8,87,123
201,48,46,205
145,82,258,15
210,54,189,47
272,8,125,95
63,167,36,234
260,16,89,135
227,37,67,169
288,10,112,90
164,62,33,241
41,205,62,192
78,146,25,251
286,3,109,102
154,75,40,231
184,60,220,36
107,108,17,268
293,4,96,107
90,121,279,10
224,38,177,61
71,149,19,261
185,62,217,36
66,174,40,220
120,95,9,276
264,18,85,133
18,273,85,124
116,95,280,9
211,47,55,187
106,97,4,293
262,17,134,87
265,15,134,86
55,199,203,43
84,132,268,16
46,206,47,201
132,84,18,266
111,90,6,293
58,176,41,225
262,21,128,89
156,70,244,30
68,167,29,236
113,95,289,3
251,26,68,155
232,29,182,57
8,290,91,111
223,40,53,184
263,14,135,88
267,15,97,121
26,244,94,136
113,88,290,9
45,183,42,230
139,81,262,18
110,97,288,5
119,83,281,17
12,282,86,120
149,77,25,249
49,200,48,203
266,11,126,97
149,82,17,252
70,152,255,23
199,56,50,195
8,289,120,83
203,47,196,54
99,108,9,284
108,98,5,289
96,104,8,292
286,6,116,92
39,223,166,72
197,51,49,203
152,80,25,243
250,18,161,71
6,267,114,113
163,73,33,231
286,7,101,106
51,197,208,44
81,141,264,14
11,286,105,98
100,104,6,290
162,68,35,235
24,245,82,149
16,263,132,89
209,45,190,56
70,159,29,242
13,282,119,86
82,135,29,254
215,43,54,188
299,1,103,97
45,208,54,193
31,227,70,172
63,177,39,221
265,17,83,135
87,121,16,276
68,171,37,224
42,211,60,187
165,63,32,240
192,58,48,202
6,290,99,105
101,111,283,5
90,116,282,12
116,98,277,9
84,129,19,268
124,95,12,269
96,102,4,298
279,13,84,124
253,19,144,84
4,290,105,101
272,10,81,137
3,294,103,100
197,58,190,55
13,268,131,88
258,21,82,139
18,270,82,130
234,31,178,57
83,132,271,14
131,82,273,14
270,12,129,89
36,226,171,67
102,105,290,3
179,57,38,226
38,222,54,186
252,26,71,151
93,120,7,280
114,100,1,285
20,259,130,91
277,8,93,122
277,11,101,111
126,91,274,9
174,55,238,33
96,115,4,285
23,243,161,73
21,254,73,152
205,47,189,59
133,88,19,260
196,48,207,49
13,275,127,85
258,17,149,76
262,19,132,87
107,105,277,11
72,153,250,25
78,141,21,260
85,148,250,17
259,22,75,144
74,146,20,260
232,31,76,161
258,26,66,150
295,3,98,104
278,10,94,118
127,87,13,273
48,197,59,196
89,121,278,12
47,203,68,182
43,211,197,49
19,253,94,134
271,14,98,117
268,18,84,130
42,221,57,180
244,25,69,162
262,17,87,134
239,29,66,166
160,70,30,240
113,98,9,280
148,76,23,253
44,214,194,48
105,99,291,5
78,146,261,15
172,62,231,35
45,213,189,53
79,146,25,250
38,231,172,59
67,180,209,44
203,48,208,41
78,153,239,30
108,104,12,276
139,82,13,266
208,47,57,188
7,294,96,103
276,12,89,123
267,10,92,131
184,57,215,44
289,5,92,114
123,91,5,281
90,118,10,282
188,56,35,221
246,27,143,84
260,22,135,83
106,107,7,280
91,125,21,263
85,141,14,260
77,159,30,234
21,252,79,148
70,162,240,28
273,21,81,125
235,29,80,156
96,103,297,4
53,195,206,46
86,130,22,262
18,257,84,141
281,17,83,119
32,236,65,167
137,80,265,18
295,10,102,93
83,138,258,21
211,49,53,187
151,72,255,22
48,187,212,53
279,10,88,123
94,117,276,13
240,33,146,81
105,110,276,9
211,42,60,187
274,12,92,122
79,129,278,14
286,9,94,111
163,64,32,241
19,270,90,121
131,87,13,269
117,95,12,276
45,214,186,55
47,220,70,163
223,45,64,168
31,237,162,70
18,256,146,80
79,154,233,34
281,11,107,101
153,70,254,23
243,28,78,151
219,34,178,69
152,71,19,258
19,264,132,85
272,15,124,89
202,51,190,57
72,141,19,268
160,69,30,241
198,58,197,47
57,179,227,37
11,281,95,113
160,77,32,231
47,207,49,197
6,272,119,103
7,280,90,123
86,127,273,14
62,168,232,38
84,135,19,262
237,28,164,71
69,161,30,240
92,116,285,7
68,158,245,29
141,80,258,21
155,74,29,242
209,39,196,56
213,44,190,53
23,247,84,146
114,92,288,6
96,110,284,10
106,94,290,10
227,40,62,171
206,48,52,194
127,91,264,18
55,199,44,202
50,213,173,64
44,208,185,63
17,255,132,96
95,115,12,278
68,166,34,232
6,284,110,100
91,129,13,267
133,86,267,14
73,159,240,28
17,259,134,90
11,275,91,123
88,127,18,267
275,10,122,93
38,224,181,57
261,19,131,89
217,38,180,65
154,72,250,24
281,7,103,109
283,11,93,113
84,142,28,246
230,34,68,168
96,112,11,281
72,171,218,39
39,230,169,62
142,83,258,17
15,269,123,93
16,267,81,136
74,153,45,228
39,226,67,168
280,12,116,92
152,73,25,250
6,292,95,107
134,83,260,23
110,101,284,5
53,190,209,48
161,69,27,243
151,73,30,246
14,262,89,135
8,279,97,116
78,140,268,14
106,96,295,3
26,253,150,71
7,285,112,96
20,259,133,88
207,48,54,191
275,10,106,109
9,287,115,89
25,248,157,70
46,219,169,66
227,31,170,72
104,101,7,288
139,75,269,17
169,72,228,31
82,138,259,21
107,97,7,289
109,95,290,6
9,278,103,110
151,71,243,35
28,238,72,162
58,182,223,37
98,109,5,288
137,88,258,17
120,88,280,12
278,9,118,95
73,162,22,243
95,116,6,283
43,211,56,190
254,23,81,142
