N_East,N_West,N_North,N_South
281,10,113,96
106,132,228,34
232,35,62,171
118,98,19,265
265,20,112,103
161,77,208,54
296,8,113,83
272,11,105,112
288,8,111,93
248,25,102,125
285,11,99,105
116,90,5,289
220,42,59,179
278,10,108,104
271,20,111,98
56,199,183,62
233,38,72,157
198,68,63,171
236,39,89,136
3,291,103,103
252,24,78,146
290,5,95,110
2,293,112,93
182,62,61,195
295,6,110,89
151,77,51,221
275,11,100,114
277,17,112,94
134,82,33,251
183,65,213,39
271,19,105,105
287,13,98,102
284,11,102,103
229,33,173,65
242,29,107,122
209,55,111,125
283,5,98,114
53,190,74,183
294,2,97,107
277,7,122,94
271,14,107,108
182,60,213,45
285,5,93,117
241,35,130,94
275,15,109,101
253,25,136,86
282,6,109,103
285,10,104,101
168,86,63,183
259,24,83,134
113,101,7,279
111,100,275,14
48,199,162,91
293,3,112,92
198,56,195,51
285,5,95,115
230,37,83,150
232,28,175,65
225,41,157,77
243,25,123,109
258,20,135,87
285,11,95,109
261,14,124,101
288,7,107,98
285,7,114,94
236,35,95,134
209,44,44,203
210,42,57,191
247,29,66,158
266,23,115,96
287,6,121,86
293,6,109,92
283,8,92,117
249,24,81,146
185,62,47,206
274,13,91,122
287,2,97,114
214,49,107,130
295,4,93,108
147,78,25,250
285,8,111,96
284,10,110,96
284,8,117,91
273,14,138,75
268,12,110,110
292,3,99,106
237,33,141,89
174,63,43,220
293,3,107,97
245,28,77,150
165,73,93,169
272,16,113,99
261,22,87,130
208,44,182,66
246,31,113,110
268,14,123,95
237,37,88,138
21,262,144,73
193,46,209,52
295,6,96,103
244,22,102,132
271,17,114,98
283,10,110,97
275,9,105,111
104,102,12,282
282,8,100,110
253,34,94,119
272,18,105,105
202,53,60,185
282,8,94,116
32,247,83,138
188,58,67,187
263,14,87,136
282,9,110,99
271,10,91,128
269,20,107,104
37,234,163,66
239,40,155,66
234,38,114,114
230,50,158,62
183,53,213,51
107,91,11,291
126,87,24,263
279,13,101,107
121,90,271,18
107,100,12,281
117,98,10,275
258,17,86,139
277,15,108,100
273,15,122,90
154,87,41,218
275,11,97,117
189,80,159,72
252,20,121,107
166,73,52,209
281,13,89,117
267,18,79,136
265,21,144,70
195,55,88,162
279,6,91,124
92,133,42,233
280,10,120,90
255,26,138,81
186,78,88,148
252,22,118,108
103,95,12,290
292,5,107,96
278,10,92,120
250,29,95,126
206,49,193,52
223,46,169,62
191,56,210,43
281,9,116,94
244,27,82,147
239,33,151,77
254,20,79,147
180,59,228,33
113,94,279,14
111,99,274,16
293,6,110,91
284,5,106,105
229,36,85,150
267,13,99,121
249,28,93,130
218,41,135,106
238,36,105,121
147,104,47,202
279,3,113,105
282,9,93,116
262,12,115,111
233,33,132,102
145,81,25,249
98,113,275,14
281,8,101,110
121,93,19,267
283,9,107,101
275,6,116,103
261,20,103,116
249,28,76,147
270,12,118,100
257,22,93,128
193,67,173,67
242,23,106,129
281,8,90,121
290,9,101,100
276,13,104,107
139,87,44,230
255,23,120,102
253,24,132,91
155,74,29,242
292,2,102,104
224,34,172,70
26,247,126,101
287,7,102,104
70,166,28,236
276,12,98,114
243,31,136,90
84,128,277,11
223,39,156,82
105,103,9,283
215,55,153,77
108,104,280,8
128,90,33,249
11,289,86,114
288,7,85,120
288,6,109,97
251,24,59,166
276,4,109,111
262,21,107,110
230,39,191,40
232,34,164,70
3,285,116,96
247,24,156,73
151,74,24,251
282,8,118,92
102,102,293,3
277,9,106,108
278,13,80,129
251,21,123,105
251,23,151,75
134,106,214,46
108,90,19,283
295,5,112,88
109,98,279,14
180,60,46,214
61,192,46,201
12,268,81,139
219,54,155,72
241,31,74,154
270,14,102,114
278,12,113,97
243,27,158,72
286,7,101,106
134,80,28,258
274,13,134,79
264,21,94,121
288,8,100,104
78,137,262,23
240,30,157,73
115,99,24,262
245,30,85,140
279,8,112,101
224,41,56,179
273,15,126,86
137,91,37,235
137,86,32,245
258,15,121,106
243,28,70,159
239,36,87,138
70,157,232,41
61,187,210,42
150,97,190,63
253,22,146,79
241,21,71,167
263,24,92,121
88,136,238,38
69,149,42,240
285,4,118,93
264,14,138,84
195,53,70,182
271,9,106,114
230,42,162,66
272,14,110,104
254,25,127,94
259,19,80,142
274,13,90,123
66,161,50,223
116,100,263,21
246,23,75,156
278,13,98,111
274,15,120,91
18,270,92,120
201,49,202,48
274,17,109,100
29,230,166,75
283,10,103,104
256,23,129,92
3,286,89,122
233,33,73,161
111,99,20,270
291,5,118,86
280,9,101,110
191,74,169,66
268,17,120,95
288,4,107,101
220,51,146,83
198,50,201,51
290,7,102,101
129,93,24,254
147,73,251,29
283,5,96,116
261,22,91,126
262,17,110,111
257,25,112,106
135,102,214,49
282,10,91,117
62,156,230,52
160,73,248,19
242,28,108,122
2,294,99,105
250,30,88,132
291,1,115,93
128,91,243,38
177,64,32,227
158,77,47,218
276,14,97,113
249,33,82,136
96,130,59,215
222,43,175,60
285,8,117,90
184,55,209,52
291,7,88,114
230,34,168,68
242,27,94,137
290,2,102,106
263,19,137,81
191,69,163,77
132,84,248,36
292,2,88,118
266,17,112,105
291,9,92,108
278,14,78,130
217,54,67,162
259,24,120,97
172,64,213,51
272,14,102,112
7,282,89,122
198,62,62,178
243,28,79,150
37,228,97,138
277,9,95,119
189,57,45,209
282,3,103,112
106,104,3,287
284,8,93,115
298,2,99,101
162,75,222,41
265,15,94,126
141,82,35,242
203,55,164,78
192,56,193,59
265,14,94,127
213,45,182,60
67,169,33,231
180,55,59,206
286,7,95,112
243,43,157,57
287,8,116,89
226,44,158,72
284,11,85,120
183,74,174,69
17,255,154,74
232,35,91,142
281,15,107,97
295,2,96,107
268,16,89,127
270,18,89,123
184,65,200,51
262,25,109,104
129,84,264,23
220,38,68,174
242,35,82,141
151,77,60,212
284,9,102,105
252,19,74,155
294,4,109,93
144,77,46,233
143,80,241,36
106,101,286,7
284,9,95,112
288,10,91,111
278,12,121,89
9,278,98,115
242,37,89,132
273,11,111,105
105,95,9,291
280,5,106,109
277,12,114,97
112,99,277,12
292,6,101,101
227,45,78,150
259,23,85,133
255,22,145,78
256,27,119,98
120,93,271,16
287,5,106,102
283,10,110,97
270,17,117,96
264,17,125,94
265,15,124,96
279,5,108,108
290,8,102,100
130,118,211,41
244,28,68,160
176,59,66,199
279,9,99,113
131,90,259,20
153,77,20,250
182,61,190,67
192,57,46,205
268,13,107,112
