N_East,N_West,N_North,N_South
259,24,126,91
116,102,13,269
102,102,285,11
243,23,155,79
144,85,232,39
284,7,99,110
273,11,94,122
287,8,107,98
277,9,101,113
257,30,94,119
274,9,111,106
110,101,8,281
256,27,94,123
288,8,116,88
278,6,105,111
284,4,110,102
269,20,119,92
203,54,196,47
279,17,110,94
283,12,101,104
226,39,106,129
54,193,154,99
228,35,154,83
261,20,87,132
260,23,105,112
205,55,83,157
221,40,68,171
265,24,85,126
249,28,107,116
186,70,73,171
69,166,201,64
258,23,127,92
233,37,54,176
265,18,114,103
152,85,32,231
285,6,107,102
281,8,106,105
199,50,78,173
72,161,34,233
279,13,117,91
290,6,93,111
122,93,276,9
288,6,103,103
220,47,62,171
214,43,70,173
53,191,67,189
220,51,69,160
280,12,119,89
112,96,12,280
267,14,135,84
54,194,86,166
173,63,44,220
190,51,217,42
133,110,41,216
235,30,81,154
291,6,94,109
176,67,202,55
233,31,149,87
203,51,82,164
269,18,132,81
290,7,110,93
293,3,105,99
277,9,100,114
267,20,90,123
117,102,261,20
289,5,104,102
291,6,101,102
255,22,77,146
286,3,111,100
271,14,93,122
286,6,109,99
283,9,115,93
248,26,79,147
270,13,80,137
265,18,129,88
103,103,281,13
222,39,81,158
222,60,147,71
271,11,121,97
235,34,167,64
115,96,16,273
236,29,147,88
287,11,109,93
286,7,93,114
257,20,143,80
266,17,108,109
54,190,212,44
231,36,170,63
135,85,32,248
271,13,103,113
271,10,103,116
234,32,146,88
291,3,104,102
260,20,131,89
285,5,106,104
241,38,146,75
232,37,152,79
106,100,19,275
266,16,95,123
174,66,200,60
268,16,134,82
273,11,96,120
289,7,94,110
284,7,117,92
270,15,124,91
222,37,181,60
48,195,61,196
161,72,226,41
250,23,161,66
258,19,100,123
71,153,48,228
228,45,140,87
259,24,126,91
155,80,54,211
252,30,135,83
267,18,83,132
272,12,118,98
187,58,218,37
235,28,69,168
270,10,95,125
243,32,102,123
292,5,101,102
70,160,240,30
109,100,273,18
265,20,80,135
140,112,201,47
282,8,92,118
254,22,149,75
271,13,123,93
125,89,267,19
171,64,224,41
211,41,157,91
202,58,92,148
264,16,87,133
276,9,112,103
290,5,104,101
282,7,106,105
112,105,266,17
251,19,85,145
278,20,83,119
274,9,114,103
247,29,157,67
286,2,102,110
275,13,116,96
217,48,61,174
283,15,100,102
280,12,112,96
281,9,105,105
287,8,100,105
271,18,90,121
270,14,92,124
282,10,117,91
279,7,130,84
258,22,130,90
268,17,129,86
235,29,112,124
153,82,249,16
259,23,150,68
246,34,91,129
190,52,31,227
267,17,127,89
280,7,96,117
285,11,99,105
289,5,113,93
260,19,97,124
263,16,88,133
115,121,207,57
264,20,138,78
192,59,58,191
286,7,110,97
200,52,188,60
283,7,113,97
292,1,100,107
285,7,107,101
289,5,99,107
262,20,143,75
235,32,79,154
258,28,108,106
216,43,65,176
96,135,212,57
122,97,264,17
119,94,273,14
157,66,33,244
182,67,41,210
254,23,119,104
270,16,95,119
286,8,93,113
135,88,22,255
238,34,146,82
254,18,96,132
196,66,174,64
16,253,120,111
287,7,106,100
228,35,154,83
268,18,128,86
193,52,198,57
175,89,62,174
229,39,83,149
142,79,43,236
246,27,59,168
282,10,102,106
281,5,114,100
66,159,48,227
70,141,258,31
42,223,95,140
267,12,122,99
2,290,96,112
137,80,263,20
254,28,103,115
128,91,36,245
279,9,109,103
255,22,77,146
277,9,101,113
275,16,93,116
67,170,222,41
203,63,69,165
288,3,93,116
155,76,241,28
282,9,99,110
283,4,108,105
253,25,136,86
235,39,114,112
191,54,55,200
246,31,155,68
209,48,191,52
254,27,72,147
283,10,108,99
182,85,168,65
191,59,148,102
238,28,147,87
272,13,111,104
285,5,98,112
243,33,148,76
258,24,131,87
176,66,35,223
296,4,94,106
279,14,118,89
273,11,113,103
254,22,95,129
235,34,140,91
255,24,81,140
182,66,39,213
120,98,260,22
257,22,91,130
200,55,57,188
286,5,94,115
223,42,59,176
226,40,78,156
255,23,77,145
206,50,147,97
245,27,113,115
238,45,85,132
203,40,204,53
247,30,119,104
294,2,97,107
26,251,70,153
291,2,108,99
272,9,112,107
214,53,69,164
281,9,111,99
289,7,103,101
249,21,141,89
253,33,95,119
217,39,63,181
82,155,221,42
254,29,153,64
43,203,79,175
4,297,104,95
62,179,70,189
265,16,115,104
269,21,117,93
232,40,93,135
288,10,97,105
284,5,99,112
72,166,54,208
267,17,116,100
89,134,34,243
209,57,57,177
285,5,98,112
282,9,124,85
287,7,90,116
290,4,100,106
201,49,197,53
