N_East,N_West,N_North,N_South
291,9,83,117
284,4,101,111
277,13,104,106
276,8,119,97
286,11,121,82
240,34,135,91
293,3,96,108
284,9,119,88
288,6,106,100
251,25,66,158
263,24,110,103
220,48,61,171
297,3,98,102
258,27,98,117
250,27,146,77
259,27,131,83
260,18,75,147
279,6,126,89
263,19,140,78
263,20,118,99
108,89,6,297
266,19,77,138
196,73,62,169
305,4,87,104
108,116,251,25
107,97,9,287
254,19,90,137
110,104,7,279
231,38,182,49
152,81,39,228
170,79,59,192
279,16,120,85
226,56,100,118
241,29,150,80
250,23,81,146
288,4,103,105
243,31,128,98
294,7,91,108
288,3,107,102
166,72,237,25
267,16,101,116
238,30,90,142
249,33,136,82
244,30,72,154
71,156,51,222
299,7,100,94
281,9,93,117
238,31,154,77
208,49,201,42
123,92,275,10
285,6,89,120
262,31,89,118
108,102,11,279
274,15,118,93
284,8,90,118
221,48,178,53
259,20,115,106
260,24,114,102
294,4,95,107
111,97,273,19
290,7,128,75
273,10,136,81
292,4,88,116
281,16,93,110
292,1,100,107
277,11,120,92
296,1,106,97
261,22,112,105
260,23,120,97
282,12,101,105
204,53,71,172
141,82,244,33
281,9,107,103
223,37,103,137
277,15,97,111
231,33,72,164
249,28,94,129
285,8,109,98
18,270,120,92
29,238,78,155
294,5,96,105
262,17,126,95
281,7,107,105
272,22,116,90
280,16,112,92
199,51,53,197
191,54,207,48
240,30,86,144
109,105,1,285
283,6,111,100
65,175,55,205
170,86,45,199
109,104,16,271
270,11,105,114
273,15,126,86
259,22,97,122
281,6,108,105
294,8,101,97
272,9,113,106
180,54,223,43
298,2,108,92
239,32,102,127
254,29,81,136
237,27,104,132
258,20,91,131
160,76,42,222
260,19,116,105
252,36,111,101
36,236,61,167
247,29,123,101
279,6,109,106
22,253,85,140
226,44,181,49
243,32,116,109
287,9,107,97
289,7,93,111
115,102,275,8
222,34,178,66
262,20,147,71
275,10,109,106
182,74,195,49
283,4,110,103
204,49,180,67
185,51,53,211
46,212,174,68
289,7,100,104
270,13,116,101
42,214,60,184
292,5,117,86
126,89,258,27
281,17,81,121
254,29,105,112
215,41,145,99
109,100,7,284
278,8,106,108
255,23,78,144
239,23,138,100
181,58,205,56
196,53,108,143
257,21,94,128
229,45,119,107
27,243,125,105
151,97,196,56
281,8,118,93
191,60,92,157
59,176,49,216
199,54,157,90
234,39,66,161
291,8,106,95
242,31,75,152
285,16,82,117
248,33,61,158
293,9,91,107
287,7,118,88
270,18,125,87
242,22,150,86
212,45,170,73
267,18,98,117
282,10,109,99
290,7,106,97
294,13,113,80
232,32,169,67
286,9,112,93
271,12,112,105
252,25,83,140
154,73,45,228
8,282,97,113
43,211,70,176
276,17,85,122
265,11,105,119
174,81,70,175
287,6,107,100
292,4,99,105
235,32,84,149
204,61,108,127
23,250,151,76
271,14,91,124
217,38,100,145
263,18,113,106
175,84,170,71
219,49,109,123
289,8,103,100
270,11,96,123
183,76,174,67
282,11,121,86
279,5,128,88
288,7,108,97
202,47,51,200
261,15,134,90
283,9,122,86
245,32,141,82
107,102,279,12
273,17,107,103
184,60,201,55
241,33,81,145
242,32,105,121
274,15,117,94
289,9,102,100
146,82,224,48
166,74,229,31
0,297,111,92
2,292,95,111
234,31,152,83
289,6,119,86
278,9,120,93
235,41,133,91
265,18,87,130
139,88,32,241
283,6,109,102
262,23,93,122
256,29,75,140
124,93,270,13
117,98,10,275
233,43,90,134
227,40,174,59
281,13,102,104
243,28,149,80
225,37,82,156
277,18,128,77
245,33,131,91
285,6,94,115
67,180,207,46
100,134,45,221
285,8,118,89
231,42,94,133
246,30,69,155
256,20,129,95
286,9,105,100
3,281,107,109
172,64,195,69
278,13,109,100
281,14,123,82
230,39,121,110
291,2,111,96
196,55,85,164
246,30,149,75
252,31,146,71
277,10,119,94
168,73,208,51
176,65,56,203
278,10,110,102
287,8,94,111
153,83,213,51
157,76,43,224
276,14,98,112
127,91,239,43
177,54,220,49
139,90,251,20
237,30,167,66
270,15,107,108
281,5,122,92
276,12,95,117
279,9,115,97
245,29,140,86
244,29,128,99
289,4,99,108
156,80,29,235
277,13,96,114
9,279,94,118
283,6,108,103
227,34,125,114
10,273,130,87
135,81,262,22
281,7,102,110
154,84,240,22
218,51,139,92
140,87,238,35
269,18,106,107
269,14,121,96
265,16,92,127
292,6,103,99
73,162,45,220
289,6,103,102
73,174,217,36
63,173,214,50
284,9,116,91
185,59,37,219
193,73,168,66
241,27,87,145
208,48,183,61
261,24,97,118
241,23,106,130
49,198,62,191
287,9,115,89
248,28,141,83
277,8,92,123
300,3,94,103
191,77,74,158
284,10,105,101
270,14,124,92
292,5,113,90
278,15,106,101
150,81,51,218
265,20,116,99
269,11,102,118
278,9,90,123
86,141,253,20
193,57,204,46
62,186,45,207
131,84,262,23
261,15,84,140
285,9,106,100
258,21,83,138
126,90,29,255
213,42,178,67
288,7,115,90
272,16,119,93
277,9,95,119
291,8,95,106
96,115,284,5
283,8,110,99
137,87,13,263
252,26,73,149
292,6,99,103
132,93,34,241
264,18,149,69
141,81,255,23
281,12,108,99
220,45,58,177
191,59,149,101
174,81,176,69
281,12,112,95
296,3,97,104
281,10,111,98
273,18,119,90
120,94,12,274
287,5,110,98
217,41,179,63
5,279,108,108
4,294,99,103
202,51,44,203
284,9,89,118
295,9,89,107
270,10,110,110
198,55,168,79
254,21,143,82
151,75,236,38
263,19,81,137
175,72,192,61
297,6,90,107
280,6,119,95
139,78,56,227
291,4,102,103
284,10,102,104
235,35,133,97
135,107,68,190
281,15,93,111
286,5,114,95
204,65,76,155
154,87,189,70
136,90,257,17
126,92,258,24
63,185,66,186
110,98,279,13
262,18,134,86
261,16,104,119
174,58,53,215
282,12,103,103
253,25,77,145
253,19,115,113
2,292,94,112
280,5,103,112
280,18,105,97
197,48,187,68
222,46,161,71
277,14,101,108
176,68,37,219
217,39,131,113
236,33,72,159
290,4,103,103
258,26,117,99
240,36,107,117
252,21,151,76
280,10,93,117
286,6,96,112
223,49,161,67
105,96,6,293
234,38,135,93
74,149,250,27
173,63,226,38
290,6,105,99
131,87,26,256
272,18,125,85
271,12,117,100
277,8,102,113
184,63,209,44
285,7,103,105
280,8,122,90
80,148,52,220
276,12,108,104
8,271,121,100
70,168,35,227
274,10,114,102
282,9,112,97
210,50,170,70
262,15,131,92
175,59,219,47
270,12,86,132
212,54,170,64
213,40,180,67
6,300,96,98
231,36,60,173
118,90,14,278
113,90,277,20
248,27,78,147
231,38,102,129
271,16,119,94
71,147,27,255
120,96,15,269
295,3,105,97
287,7,97,109
228,42,74,156
282,6,84,128
288,12,108,92
272,13,96,119
271,17,121,91
276,10,129,85
202,47,68,183
157,75,56,212
219,37,71,173
263,15,90,132
262,17,121,100
182,72,50,196
288,4,105,103
281,8,115,96
250,21,86,143
221,43,58,178
272,11,93,124
40,219,128,113
289,6,100,105
291,8,103,98
206,57,70,167
39,222,179,60
263,20,144,73
285,4,100,111
194,59,57,190
234,32,69,165
267,14,129,90
291,7,107,95
269,19,110,102
280,12,92,116
260,27,85,128
196,48,60,196
285,9,132,74
289,3,101,107
209,46,79,166
272,13,92,123
129,95,265,11
211,43,55,191
286,7,88,119
125,84,269,22
287,7,84,122
288,8,100,104
147,85,41,227
166,72,63,199
290,3,98,109
71,163,232,34
245,30,77,148
117,92,28,263
176,60,38,226
15,272,142,71
122,88,31,259
292,2,91,115
287,4,90,119
107,98,6,289
171,69,214,46
229,44,46,181
263,24,121,92
293,4,94,109
148,102,67,183
209,43,74,174
276,12,120,92
252,25,95,128
83,145,245,27
255,20,141,84
227,37,81,155
147,93,199,61
227,34,71,168
3,295,112,90
279,12,124,85
178,66,25,231
255,18,132,95
211,63,59,167
266,21,94,119
255,21,91,133
278,15,99,108
277,11,102,110
292,6,102,100
280,9,94,117
69,163,232,36
265,17,79,139
281,8,107,104
152,80,63,205
293,5,107,95
154,82,213,51
293,6,100,101
250,30,143,77
262,14,133,91
277,9,100,114
291,4,96,109
34,242,142,82
8,272,119,101
173,76,59,192
254,25,97,124
247,28,132,93
285,2,100,113
287,1,100,112
276,17,101,106
288,7,106,99
187,59,66,188
189,52,52,207
72,146,248,34
255,22,89,134
152,71,251,26
267,10,107,116
252,22,158,68
120,95,268,17
116,132,44,208
274,14,109,103
116,93,25,266
248,30,148,74
142,82,224,52
289,6,95,110
288,12,80,120
231,34,126,109
241,29,150,80
235,36,69,160
224,40,53,183
257,24,85,134
247,31,78,144
262,22,123,93
111,97,289,3
283,7,107,103
273,17,85,125
228,36,166,70
228,48,96,128
276,11,121,92
264,18,125,93
264,22,131,83
116,96,275,13
147,103,183,67
217,48,58,177
232,28,172,68
138,83,235,44
221,39,150,90
183,57,35,225
278,13,128,81
205,47,189,59
278,13,84,125
278,9,82,131
137,86,18,259
5,285,115,95
284,13,114,89
217,55,154,74
284,5,106,105
156,74,23,247
195,64,154,87
103,97,4,296
193,53,153,101
290,7,101,102
288,9,112,91
278,10,111,101
234,40,94,132
278,11,90,121
53,175,228,44
44,211,87,158
274,10,108,108
288,9,116,87
2,284,105,109
248,28,67,157
301,7,90,102
276,9,110,105
148,96,211,45
2,296,97,105
155,65,41,239
1,293,115,91
279,9,92,120
258,24,117,101
296,1,107,96
253,28,87,132
30,238,151,81
277,11,97,115
255,22,96,127
248,25,106,121
249,31,112,108
113,95,287,5
269,16,110,105
280,8,98,114
227,39,154,80
76,152,256,16
180,61,73,186
135,84,14,267
99,127,59,215
189,55,195,61
229,33,52,186
240,31,85,144
33,244,101,122
166,78,202,54
287,6,106,101
184,59,200,57
109,95,278,18
277,9,106,108
222,40,91,147
288,9,107,96
269,12,104,115
280,13,113,94
65,169,32,234
